,ASIANPAINT.NS,BAJAJ-AUTO.NS,HCLTECH.NS,INFY.NS,TCS.NS,TITAN.NS
2022-03-19,3494.877593073589,3168.2749186126366,1299.1561804544897,1914.2243354963352,3771.4501716220866,2509.5662919523465
2022-03-20,3490.3994189966566,3173.3994450866567,1308.97733562702,1918.090028834877,3773.006991322286,2520.7380391882893
2022-03-21,3492.4528834439275,3165.4109022814273,1307.5913714587127,1921.6570842908745,3779.5363608183843,2516.396675620536
2022-03-22,3488.850100301907,3171.3244075271405,1304.0294276507427,1922.285057915707,3777.3771471463015,2514.9891129526286
2022-03-23,3490.107109486894,3182.8506783057555,1304.493172180604,1916.9872724826964,3772.9811528917744,2513.8704959979427
2022-03-24,3480.2108768828825,3174.5156232674276,1301.1647570706796,1914.3922806705705,3780.573164608605,2522.787422520666
2022-03-25,3488.177407432704,3186.0399519894618,1302.249120166827,1918.2858420341818,3789.07637389682,2509.3759430948203
2022-03-26,3504.7066362101637,3191.8919987691684,1303.1746895004387,1909.5458903084414,3792.551705886611,2505.9871188355532
2022-03-27,3502.677052035318,3185.390361868804,1304.7073781141194,1910.7938402775749,3799.802432417086,2500.817226138282
2022-03-28,3495.9819205175545,3177.997076959908,1301.959237532161,1911.7780641057739,3802.9917668861644,2491.5582341310715
2022-03-29,3507.6252591834236,3172.812590589766,1302.0605785245493,1917.64178490443,3797.761429342495,2490.1667062979254
2022-03-30,3484.4091060668716,3164.3335073456456,1302.490730785244,1925.2543001686831,3797.518159128553,2495.4136575425146
2022-03-31,3483.8694845073283,3172.681374079276,1297.79652840225,1916.0826531584712,3799.345554861758,2511.47190954626
2022-04-01,3479.17316102193,3176.8303976167385,1301.5666366966402,1916.0749854074493,3802.113605770234,2499.4955904087738
2022-04-02,3496.6762712529153,3165.041969579809,1297.0874869748382,1920.0107502434253,3796.0327779626546,2511.747280155341
2022-04-03,3512.1107392622807,3160.5100101899384,1293.2350362598613,1921.848984000219,3798.4755665598323,2515.493382777364
2022-04-04,3511.2003554977505,3157.538443892693,1295.7494776792125,1929.2621584285341,3809.293495868124,2509.3923594341436
2022-04-05,3506.525640059662,3150.886468691804,1294.0537703588634,1929.0532026368135,3815.162632364571,2513.031667987599
2022-04-06,3509.4263103948933,3152.774726199539,1297.0005900072738,1932.9348953071792,3813.750037763447,2507.2949979238037
2022-04-07,3505.251641249647,3146.626301008197,1297.826660815322,1930.543328542903,3821.2758333185798,2497.2901246124375
2022-04-08,3494.188361675181,3144.057415308442,1301.0208261343591,1933.1033760431492,3830.2618231673077,2503.616408082497
2022-04-09,3485.6485741974843,3136.3754997618985,1295.4061266253016,1938.9956224038656,3817.935540149523,2505.269130393156
2022-04-10,3476.0207070620863,3148.868500082705,1292.1960052880788,1938.5254743325265,3818.1010287386534,2498.4143910455923
2022-04-11,3460.5933772590774,3167.684208339947,1291.1392117096152,1936.9616931925539,3826.1150700300677,2496.3912084462454
2022-04-12,3466.1533902962196,3162.364391415314,1286.2507106488724,1933.642564459245,3827.8872772089135,2487.130762749411
2022-04-13,3466.541865818593,3162.255709083051,1283.5974690161963,1934.7876724671569,3825.633064654612,2473.0987369608347
2022-04-14,3466.2056748239893,3161.6238463152736,1282.2460335142773,1931.2912003301776,3841.442027610375,2475.711237126754
2022-04-15,3463.3048982225,3169.2018253150236,1281.8112541873672,1937.7870790164925,3840.158901000027,2465.1257354846593
2022-04-16,3472.8980606894547,3156.039735878425,1292.8850928411587,1930.3556668014735,3836.363447690538,2463.846114713872
2022-04-17,3473.5821874600783,3148.924878362689,1293.1870222208495,1930.542141844191,3840.62691983747,2471.4902640166874
2022-04-18,3483.228726712022,3172.897617626311,1287.4368047659893,1930.8887733417082,3844.350041120508,2478.3267441951075
2022-04-19,3496.489356698362,3178.8827497692823,1283.0872547923623,1932.5954214801022,3843.567223511314,2464.7083086276825
2022-04-20,3502.929042815626,3164.5731730923467,1281.6132471567582,1928.509105543991,3837.458402871456,2475.8552872668683
2022-04-21,3485.790431495336,3159.0987242909587,1290.8545623376742,1936.3351936436925,3827.3173512070243,2463.1898962957744
2022-04-22,3465.880861901556,3162.27819193254,1289.2281921759145,1938.7316131873308,3832.82449657455,2457.29258092697
2022-04-23,3462.9987236339266,3152.3176145186844,1286.120880985349,1944.4691339610679,3815.127151492955,2452.192928995437
2022-04-24,3462.6101519553877,3146.7943936008032,1282.3926445829213,1939.864742772304,3797.046991491525,2457.4078896901538
2022-04-25,3444.3104855831384,3143.1091893335297,1288.191520942451,1935.7007317954522,3807.2573583656754,2441.530092636693
2022-04-26,3445.232154189137,3158.0259120679575,1287.3371453694967,1937.222004283475,3811.5434808059354,2451.1703840856594
2022-04-27,3450.3345939082756,3154.641810832359,1292.831732951274,1939.5827918122054,3804.5933086908262,2463.588773335338
2022-04-28,3445.534397701128,3143.254046531889,1290.2632802222038,1929.3399809361279,3798.7498124713006,2472.24584905931
2022-04-29,3455.3039684082382,3147.730710209872,1293.863889891895,1921.9229838527456,3803.829329710792,2462.4600682194614
2022-04-30,3461.8709644367955,3135.8549549628715,1292.5133946884416,1921.79538417908,3795.738830167384,2469.3570117556133
2022-05-01,3466.64490999851,3143.3538728463745,1292.3549035170245,1919.5297414331187,3798.153328815211,2476.3711606373595
2022-05-02,3465.704937001495,3139.9312971674453,1289.5363251094495,1918.7012321228267,3810.663155125746,2466.648544576427
2022-05-03,3459.2232433000563,3132.4088348117525,1291.3813033118577,1925.6248043538562,3820.5937909902773,2467.595799197489
2022-05-04,3448.3771068071605,3141.9646290206038,1283.7275017071047,1927.9209954800288,3819.1433921480966,2474.8090592816634
2022-05-05,3444.29965239748,3131.2951322100107,1279.2657041233676,1930.3019149351453,3822.305973095529,2475.3983611883014
2022-05-06,3429.4552222552275,3134.1906925934845,1284.4454000537935,1929.6902838087906,3814.1792900885603,2479.023104104096
2022-05-07,3433.5381221433963,3138.145707510038,1285.7101596441023,1932.4543914856126,3820.9625717595854,2465.0787569847766
2022-05-08,3439.48254316761,3145.0588090976476,1295.256575898171,1926.5410123863355,3832.133947433773,2464.155356229266
2022-05-09,3446.9626560788683,3138.1189646729,1296.226227409591,1932.7332103927972,3843.486297601196,2478.9495789209773
2022-05-10,3452.765463859374,3147.4334571820336,1293.7400607680468,1932.6214918124563,3841.719975414099,2469.740969385471
2022-05-11,3457.510502946593,3149.371423084355,1295.5692325667828,1936.3010142102419,3823.423879234683,2472.9868480164178
2022-05-12,3477.3192176739058,3166.528364427833,1300.2338908597978,1936.71851461501,3822.521835548026,2481.9422418052627
2022-05-13,3471.2205246802055,3168.1395160095017,1298.6918001061167,1940.858951006411,3817.2061552436753,2478.1120426955576
2022-05-14,3467.648921743568,3175.630289049422,1296.7944039539514,1936.208461479799,3822.7663700922567,2481.594377720234
2022-05-15,3460.470296945334,3160.3955310755023,1297.4321585008004,1936.253723411836,3832.0602658293574,2482.5623124137037
2022-05-16,3466.6574688500464,3161.283619514995,1303.3960569678427,1938.7595464269325,3841.20876079583,2479.0120564256786
2022-05-17,3445.233973980254,3160.9754334720574,1298.1134525425039,1945.533932982314,3851.4297441040594,2483.007430315754
2022-05-18,3432.830429182927,3149.9343235925257,1301.3092343425437,1937.8511931641606,3829.804942835121,2491.567474473623
2022-05-19,3461.2915495200223,3155.75452688291,1300.7816632910783,1925.6471540660496,3818.6613181274042,2503.1278024634576
2022-05-20,3450.4041876219444,3163.7732539819704,1298.236052959995,1928.2487241411513,3820.3297326557404,2505.5494001200523
2022-05-21,3449.0920356809693,3164.434775726259,1290.7003279651758,1941.5247488530229,3820.4447183560414,2512.369809634435
2022-05-22,3447.8480610878405,3162.377157931513,1290.95378123603,1946.3840931609752,3827.3368874732632,2513.147760302636
2022-05-23,3471.6877988181063,3153.405437990758,1291.643330260235,1955.4828156900803,3837.9690301593027,2509.967961324362
2022-05-24,3482.3034070642875,3164.3790682350473,1294.3383565127724,1964.020524707262,3842.9647233800765,2514.4030994206987
2022-05-25,3472.5510771821855,3172.5334252198113,1289.1446266194264,1963.1213060146977,3835.8579831418037,2519.1873388713225
2022-05-26,3475.4065407982407,3178.281027050779,1292.8363088501117,1959.233750962449,3835.9871761020295,2507.7820546719386
2022-05-27,3461.2420814252314,3167.9230370906153,1289.7503531538166,1959.6689528120955,3837.949135764497,2519.0536449957194
2022-05-28,3472.092931938424,3184.2205225392454,1286.5018172080652,1960.5756477213788,3845.385303528385,2511.352218503601
2022-05-29,3476.9350697196664,3184.8059493704823,1288.4149423152544,1961.648390200636,3839.417463519326,2511.510233859644
2022-05-30,3483.903867506876,3193.2702692762514,1285.2843359272545,1973.6691150554398,3840.5016936027882,2498.1155289796543
2022-05-31,3486.3915119498606,3208.4544841409106,1281.2032090338457,1976.8737981075087,3825.75812968283,2496.250546566858
2022-06-01,3468.4451091825513,3210.937718702322,1279.7469410781991,1980.4136369719959,3834.2252225947623,2490.045498752531
2022-06-02,3469.005159782034,3205.81539975955,1279.1881176466054,1979.1607298642361,3835.4009991071557,2505.1153677188217
2022-06-03,3471.9267814362443,3212.738763840519,1287.8697793334165,1983.8144142974593,3841.7331668864012,2508.7492561897116
2022-06-04,3493.3616212479474,3208.5989858147345,1285.6007339272833,1984.7538857120803,3846.2048249034583,2504.390642168615
2022-06-05,3494.0933870719723,3207.1362630694193,1284.621761844899,1979.8160355139025,3837.4878951638398,2496.321770611528
2022-06-06,3503.810329893956,3208.7567363127405,1285.3864245250654,1982.8439460551315,3842.6827160803455,2518.462479312512
